,SOPAT,ref,ouverture,cloture
2020-08-15,,,,
2020-08-16,,,,
2020-08-17,,"1,430","1,430","1,470"
2020-08-18,,"1,470","1,470","1,470"
2020-08-19,,"1,470",,
2020-08-20,,,,
2020-08-21,,"1,470","1,470","1,430"
2020-08-22,,,,
2020-08-23,,,,
2020-08-24,,"1,430","1,430","1,390"
2020-08-25,,"1,390","1,380","1,470"
2020-08-26,,"1,470","1,430","1,430"
2020-08-27,,"1,430","1,400","1,400"
2020-08-28,,"1,400","1,420","1,420"
2020-08-29,,,,
2020-08-30,,,,
2020-08-31,,"1,420","1,440","1,400"
2020-09-01,,"1,400","1,460","1,400"
2020-09-02,,"1,400","1,400","1,400"
2020-09-03,,"1,400","1,380","1,370"
2020-09-04,,"1,370","1,360","1,380"
2020-09-05,,,,
2020-09-06,,,,
2020-09-07,,"1,380","1,400","1,390"
2020-09-08,,"1,390","1,400","1,390"
2020-09-09,,"1,390","1,390","1,380"
2020-09-10,,"1,380","1,350","1,360"
2020-09-11,,"1,360","1,340","1,340"
2020-09-12,,,,
2020-09-13,,,,
2020-09-14,,"1,340","1,380","1,370"
2020-09-15,,"1,370","1,370","1,370"
2020-09-16,,"1,370","1,390","1,390"
2020-09-17,,"1,390","1,360","1,380"
2020-09-18,,"1,380","1,360","1,380"
2020-09-19,,,,
2020-09-20,,,,
2020-09-21,,"1,380","1,360","1,380"
2020-09-22,,"1,380","1,390","1,380"
2020-09-23,,"1,380","1,360","1,380"
2020-09-24,,"1,380","1,370","1,380"
2020-09-25,,"1,380","1,380","1,380"
2020-09-26,,,,
2020-09-27,,,,
2020-09-28,,,,
2020-09-29,,,,
2020-09-30,,,,
2020-10-01,,,,
2020-10-02,,,,
2020-10-03,,,,
2020-10-04,,,,
2020-10-05,,,,
2020-10-06,,,,
2020-10-07,,,,
2020-10-08,,,,
2020-10-09,,,,
2020-10-10,,,,
2020-10-11,,,,
2020-10-12,,,,
2020-10-13,,,,
2020-10-14,,,,
2020-10-15,,,,
2020-10-16,,,,
2020-10-17,,,,
2020-10-18,,,,
2020-10-19,,,,
2020-10-20,,,,
2020-10-21,,,,
2020-10-22,,,,
2020-10-23,,,,
2020-10-24,,,,
2020-10-25,,,,
2020-10-26,,,,
2020-10-27,,,,
2020-10-28,,,,
2020-10-29,,,,
2020-10-30,,,,
2020-10-31,,,,
2020-11-01,,,,
2020-11-02,,,,
2020-11-03,,,,
2020-11-04,,,,
2020-11-05,,,,
2020-11-06,,,,
2020-11-07,,,,
2020-11-08,,,,
2020-11-09,,,,
2020-11-10,,,,
2020-11-11,,,,
2020-11-12,,,,
2020-11-13,,,,
2020-11-14,,,,
2020-11-15,,,,
2020-11-16,,,,
2020-11-17,,,,
2020-11-18,,,,
2020-11-19,,,,
2020-11-20,,,,
2020-11-21,,,,
2020-11-22,,,,
2020-11-23,,,,
2020-11-24,,,,
2020-11-25,,,,
2020-11-26,,,,
2020-11-27,,,,
2020-11-28,,,,
2020-11-29,,,,
2020-11-30,,,,
2020-12-01,,,,
2020-12-02,,,,
2020-12-03,,,,
2020-12-04,,,,
2020-12-05,,,,
2020-12-06,,,,
2020-12-07,,,,
2020-12-08,,,,
2020-12-09,,,,
2020-12-10,,,,
2020-12-11,,,,
2020-12-12,,,,
2020-12-13,,,,
2020-12-14,,,,
2020-12-15,,,,
2020-12-16,,,,
2020-12-17,,,,
2020-12-18,,,,
2020-12-19,,,,
2020-12-20,,,,
2020-12-21,,,,
2020-12-22,,,,
2020-12-23,,,,
2020-12-24,,,,
2020-12-25,,,,
2020-12-26,,,,
2020-12-27,,,,
2020-12-28,,,,
2020-12-29,,,,
2020-12-30,,,,
2020-12-31,,,,
