,UIB,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"22,010","22,200","22,100"
2018-01-04,,"22,100","22,100","22,000"
2018-01-05,,"22,000","22,090","22,000"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"22,000","22,000","22,440"
2018-01-09,,"22,440","22,400","22,400"
2018-01-10,,"22,400","22,060","22,400"
2018-01-11,,"22,400","22,500","22,700"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"23,000","23,000","22,900"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"23,400","23,400","23,400"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"24,900","24,900","24,900"
2018-02-21,,"24,900","24,860","24,970"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"26,380","26,400","26,410"
2018-03-08,,"26,410","26,500","26,300"
2018-03-09,,"26,300","26,490","26,300"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"26,300","26,490","26,300"
2018-03-13,,"26,300","26,400","26,250"
2018-03-14,,"26,250","26,300","26,210"
2018-03-15,,"26,210","26,340","26,260"
2018-03-16,,"26,260","26,280","26,430"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"26,430","26,430","26,400"
2018-03-20,,,,
2018-03-21,,"26,400","26,350","26,390"
2018-03-22,,"26,390","26,380","26,400"
2018-03-23,,"26,400","26,390","26,300"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"26,300","26,400","26,290"
2018-03-27,,"26,290","26,390","26,300"
2018-03-28,,"26,300","26,290","26,250"
2018-03-29,,"26,250","26,250","25,950"
2018-03-30,,"25,950","25,990","26,220"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"26,220","26,150","26,200"
2018-04-03,,"26,200","26,220","26,500"
2018-04-04,,"26,500","26,700","26,500"
2018-04-05,,"26,500","26,690","26,660"
2018-04-06,,"26,660","26,660","26,310"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"26,310","26,600","25,830"
2018-04-11,,"25,830","26,130","25,900"
2018-04-12,,"25,900","25,890","26,000"
2018-04-13,,"26,000","25,750","26,750"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"26,750","26,750","26,950"
2018-04-17,,"26,950","27,400","26,700"
2018-04-18,,"26,700","26,950","26,600"
2018-04-19,,"26,600","26,700","26,580"
2018-04-20,,"26,580","26,890","26,590"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"26,590","26,700","26,500"
2018-04-24,,"26,500","26,400","26,220"
2018-04-25,,"26,220","26,490","26,490"
2018-04-26,,"26,490","26,470","26,000"
2018-04-27,,"26,000","26,380","26,270"
2018-04-28,,,,
2018-04-29,,,,
2018-04-30,,"26,270","26,260","26,000"
2018-05-01,,,,
2018-05-02,,"26,000","26,000","26,000"
2018-05-03,,"26,000","26,000","26,000"
2018-05-04,,"26,000","26,000","26,000"
2018-05-05,,,,
2018-05-06,,,,
2018-05-07,,"26,000","26,000","25,700"
2018-05-08,,"25,700","25,850","25,850"
2018-05-09,,"25,850","25,870","26,350"
2018-05-10,,"26,350","26,290","26,500"
2018-05-11,,"26,500","26,500","26,450"
2018-05-12,,,,
2018-05-13,,,,
2018-05-14,,"26,450","26,450","27,000"
2018-05-15,,"27,000","27,000","26,510"
2018-05-16,,"26,510","26,550","26,500"
2018-05-17,,"26,500","26,310","26,500"
2018-05-18,,"26,500","26,500","26,300"
2018-05-19,,,,
2018-05-20,,,,
2018-05-21,,"26,300","26,300","26,250"
2018-05-22,,"26,250","26,250","26,200"
2018-05-23,,"26,200","26,200","26,900"
2018-05-24,,"26,900","26,900","27,450"
2018-05-25,,"27,450","27,850","27,600"
2018-05-26,,,,
2018-05-27,,,,
2018-05-28,,"27,600","27,900","27,900"
2018-05-29,,"27,900","27,900","27,700"
2018-05-30,,"27,700","27,650","27,600"
2018-05-31,,"27,600","27,600","27,900"
2018-06-01,,"27,250","27,250","27,600"
2018-06-02,,,,
2018-06-03,,,,
2018-06-04,,"27,600","27,600","27,500"
2018-06-05,,"27,500","27,500","28,200"
2018-06-06,,"28,200","28,200","28,900"
2018-06-07,,,,
2018-06-08,,"29,200","29,250","29,300"
2018-06-09,,,,
2018-06-10,,,,
2018-06-11,,"29,300","29,000","29,300"
2018-06-12,,"29,300","29,300","29,180"
2018-06-13,,"29,180","29,180","29,210"
2018-06-14,,"29,210","29,300","29,460"
2018-06-15,,,,
2018-06-16,,,,
2018-06-17,,,,
2018-06-18,,"29,460","29,500","30,300"
2018-06-19,,"30,300","30,310","30,520"
2018-06-20,,"30,520","30,520","30,800"
2018-06-21,,"30,800","30,790","30,200"
2018-06-22,,"30,200","30,200","30,200"
2018-06-23,,,,
2018-06-24,,,,
2018-06-25,,"30,200","31,000","30,500"
2018-06-26,,"30,500","30,500","30,600"
2018-06-27,,"30,600","30,600","30,500"
2018-06-28,,"30,500","30,500","30,300"
2018-06-29,,"30,300","30,980","30,600"
2018-06-30,,,,
2018-07-01,,,,
2018-07-02,,,,
2018-07-03,,"30,600","30,300","30,280"
2018-07-04,,"30,280","30,250","30,250"
2018-07-05,,"30,250","30,300","30,300"
2018-07-06,,"30,300","30,160","30,300"
2018-07-07,,,,
2018-07-08,,,,
2018-07-09,,"30,300","30,160","30,040"
2018-07-10,,"30,040","30,100","30,100"
2018-07-11,,"30,100","30,010","30,250"
2018-07-12,,"30,250","30,250","30,250"
2018-07-13,,"30,250","30,250","30,200"
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"30,200","30,200","30,200"
2018-07-17,,"30,200","30,200","30,290"
2018-07-18,,"30,290","30,290","30,410"
2018-07-19,,"30,410","30,400","30,500"
2018-07-20,,"30,500","30,550","30,900"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"30,900","30,800","30,900"
2018-07-24,,"30,900","30,890","30,900"
2018-07-25,,,,
2018-07-26,,"30,900","30,900","31,190"
2018-07-27,,"31,190","31,000","31,190"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"31,190","31,190","32,020"
2018-07-31,,"32,020","32,980","33,700"
2018-08-01,,"33,700","33,700","33,500"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"33,650","33,650","34,000"
2018-08-07,,"34,000","34,450","34,500"
2018-08-08,,"34,500","34,990","34,480"
2018-08-09,,"34,480","34,000","34,900"
2018-08-10,,"34,900","34,900","34,410"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"34,410","34,900","34,610"
2018-08-15,,"34,610","34,600","34,500"
2018-08-16,,"34,500","34,500","34,500"
2018-08-17,,"34,500","34,200","34,350"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"34,350","34,350","34,340"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"34,340","34,500","34,200"
2018-08-24,,"34,200","34,000","34,200"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"34,200","34,200","34,500"
2018-08-28,,"34,500","34,600","34,500"
2018-08-29,,"34,500","34,500","34,900"
2018-08-30,,"34,900","34,900","35,200"
2018-08-31,,"35,200","35,450","35,400"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"35,400","35,330","35,000"
2018-09-04,,"35,000","35,000","34,400"
2018-09-05,,,,
2018-09-06,,"33,000","31,520","31,000"
2018-09-07,,"31,000","30,070","32,000"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"31,800","31,800","30,850"
2018-09-13,,"30,850","29,930","30,000"
2018-09-14,,"30,000","30,600","30,500"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"30,500","30,500","30,000"
2018-09-18,,"30,000","30,000","30,690"
2018-09-19,,"30,690","29,900","30,000"
2018-09-20,,"30,000","30,000","30,000"
2018-09-21,,"30,000","29,920","29,810"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"29,810","29,630","30,000"
2018-09-25,,"30,000","29,980","30,000"
2018-09-26,,"30,000","29,990","29,800"
2018-09-27,,"29,800","29,590","29,590"
2018-09-28,,"29,590","29,590","29,990"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"29,990","30,000","29,990"
2018-10-02,,"29,990","29,500","28,990"
2018-10-03,,"28,990","28,800","28,200"
2018-10-04,,"28,200","28,130","27,360"
2018-10-05,,"27,360","27,370","27,700"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"27,700","27,890","27,600"
2018-10-09,,"27,600","27,700","27,300"
2018-10-10,,"27,300","27,500","27,400"
2018-10-11,,,,
2018-10-12,,"27,000","26,900","27,490"
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"27,490","27,490","27,450"
2018-10-17,,"27,450","26,700","27,300"
2018-10-18,,"27,300","27,500","27,290"
2018-10-19,,"27,290","27,270","27,200"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"27,200","27,000","26,990"
2018-10-23,,"26,990","26,900","26,530"
2018-10-24,,"26,530","26,500","26,480"
